%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489541   16.262307334  -61.527543110   -21.7636   6  19   0.5783   0.8173   1.3673   0.2205   0.4022   0.3939   0.00    0.0
2281 489542   16.262307280  -61.527542995   -21.8008   6  19   0.5704   0.8100   1.3525   0.2159   0.4024   0.3903   0.00    0.0
2281 489543   16.262307202  -61.527542893   -21.8395   6  19   0.5627   0.8028   1.3380   0.2113   0.4024   0.3867   0.00    0.0
2281 489544   16.262307107  -61.527542785   -21.8886   6  19   0.5552   0.7958   1.3238   0.2069   0.4024   0.3832   0.00    0.0
2281 489545   16.262306996  -61.527542674   -21.9290   6  19   0.5478   0.7890   1.3099   0.2026   0.4021   0.3797   0.00    0.0
2281 489546   16.262306947  -61.527542533   -21.9655   6  18   0.5408   0.7822   1.2963   0.1983   0.4018   0.3765   0.00    0.0
2281 489547   16.262306875  -61.527542383   -22.0094   6  18   0.5339   0.7757   1.2830   0.1941   0.4014   0.3734   0.00    0.0
2281 489548   16.262306768  -61.527542252   -22.0534   6  18   0.5271   0.7692   1.2700   0.1900   0.4008   0.3702   0.00    0.0
2281 489549   16.262306718  -61.527542128   -22.0922   6  18   0.5205   0.7629   1.2572   0.1860   0.4002   0.3671   0.00    0.0
2281 489550   16.262306663  -61.527541991   -22.1321   6  18   0.5140   0.7567   1.2447   0.1820   0.3995   0.3641   0.00    0.0
2281 489551   16.262306651  -61.527541820   -22.1642   6  18   0.5077   0.7506   1.2327   0.1782   0.3988   0.3611   0.00    0.0
2281 489552   16.262306643  -61.527541646   -22.1926   6  18   0.5016   0.7443   1.2209   0.1738   0.3979   0.3582   0.00    0.0
2281 489553   16.262306610  -61.527541572   -22.2301   6  18   0.4954   0.7386   1.2093   0.1696   0.3971   0.3551   0.00    0.0
2281 489554   16.262306585  -61.527541496   -22.2569   6  18   0.4895   0.7330   1.1979   0.1656   0.3963   0.3520   0.00    0.0
2281 489555   16.262306563  -61.527541452   -22.2829   6  18   0.4836   0.7275   1.1867   0.1616   0.3954   0.3491   0.00    0.0
2281 489556   16.262306536  -61.527541427   -22.2975   6  18   0.4779   0.7221   1.1757   0.1576   0.3945   0.3461   0.00    0.0
2281 489557   16.262306526  -61.527541405   -22.3070   6  18   0.4725   0.7168   1.1656   0.1542   0.3940   0.3442   0.00    0.0
2281 489558   16.262306509  -61.527541352   -22.3172   6  18   0.4672   0.7117   1.1558   0.1509   0.3935   0.3423   0.00    0.0
2281 489559   16.262306499  -61.527541263   -22.3343   6  18   0.4621   0.7066   1.1461   0.1477   0.3929   0.3405   0.00    0.0
2281 489560   16.262306459  -61.527541121   -22.3514   6  19   0.4570   0.7014   1.1366   0.1449   0.3924   0.3386   0.00    0.0
2281 489561   16.262306441  -61.527540975   -22.3698   6  18   0.4520   0.6963   1.1273   0.1421   0.3917   0.3369   0.00    0.0
2281 489562   16.262306429  -61.527540857   -22.3819   6  19   0.4471   0.6913   1.1181   0.1394   0.3911   0.3350   0.00    0.0
2281 489563   16.262306382  -61.527540724   -22.3920   6  19   0.4422   0.6864   1.1091   0.1368   0.3904   0.3332   0.00    0.0
2281 489564   16.262306381  -61.527540641   -22.3969   6  19   0.4375   0.6816   1.1002   0.1342   0.3897   0.3313   0.00    0.0
2281 489565   16.262306402  -61.527540575   -22.3966   6  19   0.4328   0.6768   1.0914   0.1316   0.3889   0.3295   0.00    0.0
2281 489566   16.262306434  -61.527540503   -22.3983   6  19   0.4282   0.6721   1.0828   0.1291   0.3882   0.3277   0.00    0.0
2281 489567   16.262306449  -61.527540432   -22.4051   6  19   0.4237   0.6675   1.0743   0.1266   0.3874   0.3259   0.00    0.0
2281 489568   16.262306484  -61.527540361   -22.4017   6  19   0.4193   0.6629   1.0660   0.1241   0.3865   0.3241   0.00    0.0
2281 489569   16.262306521  -61.527540226   -22.4041   6  18   0.4150   0.6585   1.0578   0.1216   0.3858   0.3222   0.00    0.0
2281 489570   16.262306547  -61.527540080   -22.4138   6  18   0.4107   0.6541   1.0497   0.1190   0.3850   0.3204   0.00    0.0
2281 489571   16.262306589  -61.527539957   -22.4228   6  18   0.4066   0.6498   1.0417   0.1166   0.3842   0.3186   0.00    0.0
2281 489572   16.262306605  -61.527539768   -22.4330   6  19   0.4024   0.6453   1.0339   0.1140   0.3832   0.3168   0.00    0.0
2281 489573   16.262306658  -61.527539605   -22.4450   6  19   0.3984   0.6407   1.0262   0.1116   0.3822   0.3151   0.00    0.0
2281 489574   16.262306680  -61.527539447   -22.4617   6  19   0.3945   0.6363   1.0186   0.1093   0.3811   0.3134   0.00    0.0
2281 489575   16.262306690  -61.527539290   -22.4816   6  19   0.3906   0.6319   1.0111   0.1070   0.3801   0.3118   0.00    0.0
2281 489576   16.262306708  -61.527539125   -22.4964   6  19   0.3868   0.6276   1.0037   0.1047   0.3790   0.3101   0.00    0.0
2281 489577   16.262306706  -61.527538954   -22.5114   6  19   0.3830   0.6233   0.9965   0.1024   0.3780   0.3084   0.00    0.0
2281 489578   16.262306698  -61.527538827   -22.5264   6  19   0.3793   0.6191   0.9893   0.1002   0.3769   0.3067   0.00    0.0
2281 489579   16.262306701  -61.527538763   -22.5427   6  18   0.3757   0.6152   0.9823   0.0981   0.3760   0.3051   0.00    0.0
2281 489580   16.262306712  -61.527538652   -22.5564   6  19   0.3721   0.6111   0.9753   0.0959   0.3749   0.3034   0.00    0.0
2281 489581   16.262306710  -61.527538615   -22.5727   6  18   0.3686   0.6073   0.9685   0.0939   0.3739   0.3018   0.00    0.0
2281 489582   16.262306709  -61.527538638   -22.5825   6  17   0.3651   0.6037   0.9617   0.0916   0.3729   0.3002   0.00    0.0
2281 489583   16.262306692  -61.527538664   -22.6032   6  18   0.3617   0.6001   0.9550   0.0893   0.3719   0.2984   0.00    0.0
